id,offset
93858,1.13.0
3,108f950
9,035f510
17,0d870b0
37,3742df8
55,373bae4
60,2e40660
69,2ccb140
123,2e97518
142,5a3ad6c
146,3836d80
163,388ac10
213,2da9928
225,13bbd10
231,2dfe218
237,2d3c7b8
239,03635a0
248,36f1350
254,30a0fd0
260,17840f0
263,14634a0
264,0577980
294,278ae60
324,38c9b50
325,2d7e478
362,02da2f0
380,081a070
382,10b2320
395,5b40108
397,3710b38
457,36f5590
496,37a1090
503,2e487c0
524,23b85c0
572,0774960
607,2cab008
623,075a120
632,11b1010
643,1d2eba0
696,37a7f00
711,1d14330
730,09a7c30
743,1bfe500
752,2d89618
764,12e3f10
779,028f0b0
819,20cf100
871,37caf04
880,1586820
960,1401000
977,5b66418
1042,00830f0
1060,148df90
1081,0e66210
1126,37027a0
1156,2d3f8c8
1162,37b1d70
1175,0cd5df0
1177,01694c0
1178,2d9f3a8
1223,0fc3ec0
1227,00f4740
1229,2d24cf8
1231,05c0cf0
1257,2d17560
1290,37760f0
1299,5a3b2b8
1309,37dcd50
1320,38308c0
1340,37063e0
1361,24ddc70
1370,36f8438
1382,3816060
1394,2df7a90
1397,1249c90
1415,309aa40
1441,3796940
1452,37fb7d0
1459,2ddd1c8
1473,38c3658
1476,0884210
1502,2e239f0
1516,2393820
1528,2c4d2a0
1540,3888510
1607,04cc870
1613,3071120
1626,00a9b30
1631,3744a98
1639,379a190
1655,37ff880
1656,0e8cd50
1661,07deb20
1676,2d1f720
1743,3838a20
1752,0d53420
1769,2db89e0
1787,17f6140
1816,5b2a1b4
1817,10956a0
1824,06920f0
1846,3748b48
1870,1029ee0
1884,3803930
1934,3783050
1946,308e778
1959,239b980
1966,383cad0
1967,59324a8
1982,3712ae0
1986,30c3430
1996,2496540
1998,3767570
2011,38832f0
2017,2c9dbb0
2026,1b72c10
2035,1d2c790
2038,375a048
2054,5b276c8
2067,374cbf8
2111,01b3ca0
2153,391c830
2156,689b570
2157,00eabc0
2162,05b6780
2164,37872c0
2175,27720e0
2189,154aa50
2194,5936ba8
2201,0d5b580
2205,5a3e118
2208,06b4a80
2233,2c4c180
2239,2e15120
2247,37d1c40
2294,146d2a0
2301,3750cc8
2305,5acb290
2315,2d39178
2402,5941474
2431,1437d70
2437,1ad3ae0
2489,085f470
2500,2ce91e8
2527,260cba0
2534,380fba0
2545,5ac0f88
2569,2d8fb00
2576,2f517c0
2578,1935690
2579,3739bb0
2608,2e37d78
2675,1ce4ff0
2684,3903738
2697,2e0fe68
2733,05898a0
2757,2da1048
2762,252eff0
2785,2c819d0
2826,1502070
2833,07d8660
2936,3886100
2937,2d54030
2943,37cea18
2947,5b37d18
2948,37080f0
3000,5aca008
3051,0786b10
3058,061a210
3070,689e190
3085,2d79b08
3098,0a531a0
3103,0fae870
3107,3843930
3109,00e0820
3115,2e25690
3139,0656d60
3158,126a210
3162,388a1d0
3167,2ca2708
3179,1ac54c0
3181,0f94030
3224,381bde0
3251,113a580
3275,0cc4d60
3280,2d8e8f8
3283,251c920
3303,003d680
3318,0090fa0
3320,2cc15f8
3328,071c820
3329,3915a40
3350,371bf58
3367,3772620
3386,1c300f0
3404,026bef0
3414,05e9240
3457,1aaed40
3469,1945950
3482,2ce17e4
3509,209fb40
3531,26c8a50
3544,17c0b50
3581,6886f58
3591,2e8d660
3613,0705ff0
3617,2dbe740
3628,24981e0
3658,06427f0
3664,13c3700
3676,37bf208
3724,2e4c0f0
3733,38096e0
3737,2f58718
3754,0eec270
3800,38c4128
3801,01463a0
3816,2dd0818
3822,0ecfd50
3850,1ad16d0
3856,1489770
3873,202fa00
3877,1cdeb30
3882,169bf90
3899,2c9ced4
3914,387b980
3947,0743230
3961,309f5e8
3964,0164ca0
3966,15166a0
3975,0e9ac10
4020,0fbea00
4037,0cb6710
4042,0e803d0
4053,223ca50
4083,2dc6b08
4086,6875228
4106,37d8530
4161,1b0e890
4170,37b1550
4177,65f5c04
4181,2e558f0
4211,5a62340
4212,2d917a0
4218,2cd1a78
4219,14587c0
4247,2d80ea8
4267,384a890
4277,25b97a0
4290,26ba430
4306,270dd70
4310,3775970
4324,2d5f378
4350,3883d80
4351,2279c10
4365,30b4710
4372,08b8b00
4405,2da2ce8
4419,374d690
4427,2df7328
4432,38692b0
4433,2d35a60
4468,2de9ed0
4471,17d2ea0
4494,37fb060
4506,391d308
4513,59444d8
4520,1bef770
4541,39118d0
4550,5937640
4560,2e23140
4588,2c4cc30
4616,2e6b6f8
4661,38199d0
4665,3751760
4699,3744328
4726,2ccc640
4735,5c64758
4753,2e991e8
4762,05adea0
4816,023ffa0
4818,0f95ce0
4826,3762c90
4834,2e0cab0
4835,2328ff0
4839,2d4b818
4856,27acdb0
4860,2538df0
4892,1785620
4902,2151ea0
4903,5ac1a70
4914,118fbb0
4915,379daf0
4916,0e39a90
4924,015a710
4925,203b620
4934,373a648
4945,3856ad0
4955,2ef15b0
4969,1928d10
4990,0771de0
5011,1704090
5020,20c8070
5037,39041d0
5039,2dbc330
5054,2d506b0
5067,2daef08
5085,0695a30
5088,2d41fb8
5182,176edd0
5185,2cc7378
5196,3926050
5207,38c1f18
5211,0e79f10
5319,2e5c5d8
5329,00b55d0
5364,16d2c90
5385,373be2c
5403,36fef08
5412,3925cf0
5426,1017150
5444,2dd24c8
5468,1c39e70
5480,17ac070
5496,012dc50
5497,2d58418
5505,2388b40
5515,37f3140
5561,1c72590
5586,36f1678
5632,0dd75b0
5648,2d22188
5690,20d4260
5725,5a386d8
5727,2032750
5762,158be00
5805,36f58b8
5845,1aa23c0
5852,2f55100
5855,373d5d0
5858,1e21030
5909,2dda658
5931,0881690
5935,0554110
5947,1fe7b50
5957,5a3c7d8
5977,1d3c2e0
5996,006dec0
5999,3707980
6015,248b860
6028,2d44e68
6038,2e5bb50
6040,30a8bb8
6051,5ac9878
6063,386af50
6090,2d2a2d8
6105,2518100
6106,2cca260
6121,2dde708
6124,0670c50
6135,1bf1410
6150,1a8bc40
6163,3911b28
6189,19ca120
6267,02bab20
6273,1041b50
6284,381b670
6293,23cde60
6296,3072650
6300,2c89398
6305,24217a0
6312,2e4d12c
6315,2d9b620
6326,3745fc8
6332,040b560
6340,379b6d0
6372,392ea88
6374,2de27f8
6405,0a56bd0
6407,2dd5380
6419,165a080
6464,2ca6058
6467,370fc60
6492,2d4d498
6508,1d29c10
6511,063e180
6577,2e478e0
6616,2e3a4b8
6641,5941250
6664,0b1caa0
6695,38b24f0
6708,2dbdfd0
6713,2172420
6721,2d525b8
6733,07ace50
6760,06976d0
6773,36f8760
6775,2e5a818
6783,247d240
6796,04136f0
6828,1080450
6837,123cba0
6849,2e3e568
6857,0098990
6859,1c4d040
6866,03f8e90
6878,2966f40
6961,07b0f60
6968,2db4c58
6993,0d98cf0
7010,37521c0
7024,386ddf8
7039,2d9a408
7069,0214520
7077,2d8cf80
7079,009ca40
7099,05bbd60
7110,5c5e814
7183,5b3e010
7192,2db8d08
7210,1d8bc70
7223,37c7408
7229,18ff770
7238,00bb300
7244,5b2a91c
7254,0fe2110
7257,2d3e9e8
7313,22ae500
7325,2de56b0
7334,37919b0
7369,37833a8
7377,01fdb10
7388,1115070
7397,0a4c5a0
7406,6878ae8
7433,0979e40
7445,1d90270
7451,0376a30
7480,2e03fe0
7491,5b279e0
7500,16dce20
7503,07f43c0
7522,2c82ef8
7537,0f70810
7548,246ec20
7550,373f2c8
7551,0ddd3f0
7560,17d2730
7588,37fa8f0
7596,0d13b90
7644,2e229d0
7651,2d62fe8
7654,37dff20
7665,2dc0e78
